CaseNo.,OnlineSearch,OnlineTeacher,OnlinePeer,MAP1,EP1,MAP2,PAV1,MAP3,MAV1,PAP1,MAV2,EP2,PAV2,MAV3,PAV3,EP3,PAP2,EP4,PAP3,PAP,PAV,MAV,MAP
23,3,3,3,4,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2.390499101,2.309076862,2.61134457,2.570692715
24,4,2,3,3,4,4,3,4,3,2,2,4,4,2,3,4,2,2,3,1.824871908,2.182015156,2.171611364,2.586592222
25,4,1,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3.16528638,2.680060736,2.839959921,2.991367691
26,3,3,2,4,3,4,3,4,1,3,3,3,2,2,2,3,3,4,4,2.566925338,1.720638902,1.674887884,2.943610244
27,3,3,4,4,3,3,2,3,4,3,4,2,4,3,3,4,3,3,3,2.381408697,2.464026272,3.074748106,2.578226001
28,2,2,1,3,3,3,3,4,2,3,2,3,2,2,3,3,2,4,3,2.080479946,1.892317493,1.822569944,2.461150078
29,3,1,4,4,4,4,4,4,2,2,3,4,5,3,1,4,2,2,2,1.663050023,2.058640854,2.348177146,2.902071029
30,4,1,3,4,4,4,2,4,3,2,4,3,4,3,3,3,2,3,2,1.657947629,2.276636607,2.828091349,2.909429407
31,4,1,1,4,3,4,4,4,4,4,4,3,5,4,4,4,4,3,4,3.17379408,3.187301208,3.500504659,2.999898902
32,4,2,4,3,4,3,3,3,2,3,3,4,4,2,3,3,3,2,3,2.393520151,2.226010178,2.054600095,2.240442013
33,4,2,4,3,3,3,3,4,3,4,4,4,5,4,4,4,3,2,2,2.513116789,2.908589537,3.204122242,2.503343623
34,3,3,4,4,3,4,2,3,2,2,3,2,2,2,2,3,2,4,2,1.634367207,1.592624814,1.946004452,2.657779431
35,4,3,3,3,3,3,4,3,3,3,4,2,2,3,3,3,3,3,3,2.370773482,2.359078727,2.786942857,2.253208911
36,4,2,3,3,4,3,2,3,3,2,3,4,2,3,2,4,2,2,2,1.60133531,1.788150648,2.514531054,2.210066447
37,4,1,4,4,4,3,4,4,4,1,4,4,5,4,4,3,1,1,1,0.926956577,2.909255622,3.565257866,2.739517771
38,4,2,2,4,3,3,3,4,3,4,4,3,1,3,2,3,3,3,3,2.641931918,1.967524503,2.680113754,2.8303354
39,3,3,4,4,3,3,2,3,4,2,3,2,2,3,2,2,2,3,2,1.611102677,1.879378392,2.798743342,2.5351216
40,4,2,3,4,3,3,3,3,2,3,3,3,4,2,3,3,3,3,3,2.408727642,2.224508908,2.061489914,2.560988892
